home team,away team,FTHG,FTAG,htHG,htAG,home formation,away formation,home line up,away line up,home subs,away subs,home coach,away coach,Referee,date,venue,home shots on target,away shots on target,home shots off target,away shots off target,home fouls,away fouls,home corners,away corners,home throws,away throws,result,home_ht_ft,away_ht_ft,home_double_chance,away_double_chance
Crystal Palace,Arsenal,0,2,0,1,4-2-3-1,4-2-3-1,",Vicente Guaita,Nathaniel Clyne,Joachim Andersen,Marc Guehi,Tyrick Mitchell,Cheick Oumar Doucoure,Jeffrey Schlupp,Jordan Ayew,Eberechi Eze,Wilfried Zaha,Odsonne Edouard",",Gabriel Jesus,Gabriel Martinelli,Martin Odegaard,Bukayo Saka,Granit Xhaka,Thomas Partey,Oleksandr Zinchenko,Gabriel Magalhaes,William Saliba,Ben White,Aaron Ramsdale","Sam Johnstone,Joel Ward,Chris Richards,Luka Milivojevic,Will Hughes,Jairo Riedewald,Jean-Philippe Mateta,Malcolm Ebiowei,Luke Plange","Matt Turner,Kieran Tierney,Rob Holding,Cedric Soares,Albert Sambi Lokonga,Mohamed Elneny,Eddie Nketiah,Nicolas Pepe,Reiss Nelson",Patrick Vieira,Mikel Arteta,Referee: Anthony Taylor (England),Aug 5,Venue: Selhurst Park,2,2,2,4,16,11,3,5,22,13,A,lost at ht and ft,won at ht and won at ft,didnt win either half,won both halves
Fulham,Liverpool,2,2,1,0,4-2-3-1,4-3-3,",Marek Rodak,Kenny Tete,Tosin Adarabioyo,Tim Ream,Antonee Robinson,Harrison Reed,Joao Palhinha,Bobby Reid,Andreas Pereira,Neeskens Kebano,Aleksandar Mitrovic",",Luis Diaz,Roberto Firmino,Mohamed Salah,Thiago,Fabinho,Jordan Henderson,Andy Robertson,Virgil Van Dijk,Joel Matip,Trent Alexander-Arnold,Alisson","Bernd Leno,Shane Duffy,Kevin Mbabu,Tom Cairney,Manor Solomon,Tyrese Francois,Luke Bernard Harris,Rodrigo Muniz,Jay Stansfield","Adrian,Joe Gomez,Stefan Bajcetic,Sepp Van den Berg,Luke Chambers,James Milner,Harvey Elliott,Fabio Carvalho,Darwin Nunez",Marco Silva,Jurgen Klopp,Referee: Andrew Madley (England),Aug 6,Venue: Craven Cottage,3,3,2,5,7,9,4,4,21,34,D,won at ht and drew at ft,lost at ht and drew ft,won either half,won either half
AFC Bournemouth,Aston Villa,2,0,1,0,4-2-3-1,4-3-1-2,",Mark Travers,Adam Smith,Lloyd Kelly,Chris Mepham,Jordan Zemura,Philip Billing,Jefferson Lerma,Ben Pearson,Dominic Solanke,Marcus Tavernier,Kieffer Moore",",Danny Ings,Leon Bailey,Philippe Coutinho,Jacob Ramsey,Boubacar Kamara,John McGinn,Lucas Digne,Diego Carlos,Ezri Konsa,Matty Cash,Emiliano Martinez","William Dennis,Jack Stacey,James Hill,Lewis Cook,Ryan Christie,Emiliano Marcondes,Junior Stanislas,Siriki Dembele,Jaidon Anthony","Robin Olsen,Tyrone Mings,Calum Chambers,Ludwig Augustinsson,Ashley Young,Douglas Luiz,Emiliano Buendia,Ollie Watkins,Cameron Archer",Scott Parker,Steven Gerrard,Referee: Peter Bankes (England),Aug 6,Venue: Vitality Stadium,3,2,2,7,17,16,5,5,15,17,H,won at ht and won at ft,lost at ht and ft,won both halves,didnt win either half
Leeds United,Wolverhampton Wanderers,2,1,1,1,4-2-3-1,4-2-3-1,",Illan Meslier,Rasmus Kristensen,Robin Koch,Diego Llorente,Pascal Struijk,Marc Roca,Tyler Adams,Brenden Aaronson,Rodrigo,Jack Harrison,Patrick Bamford",",Hwang Hee-chan,Pedro Neto,Morgan Gibbs-White,Daniel Podence,Ruben Neves,Leander Dendoncker,Rayan Ait-Nouri,Max Kilman,Nathan Collins,Jonny Otto,Jose Sa","Kristoffer Klaesson,Leo Fuhr Hjelde,Cody Drameh,Crysencio Summerville,Darko Gyabi,Mateusz Klich,Archie Gray,Joe Gelhardt,Sam Greenwood","Matija Sarkic,Yerson Mosquera,Willy Boly,Conor Coady,Hugo Bueno,Connor Ronan,Luke Cundle,Joe Hodge,Chem Campbell",Jesse Marsch,Bruno Lage,Referee: Robert Jones (England),Aug 6,Venue: Elland Road,4,6,4,6,13,9,6,4,15,24,H,drew at ht and won at ft,drew at ht and lost at ft,won either half,didnt win either half
Newcastle United,Nottingham Forest,2,0,0,0,4-3-3,5-3-2,",Nick Pope,Kieran Trippier,Fabian Schar,Dan Burn,Matt Targett,Bruno Guimaraes,Joseph Willock,Joelinton,Miguel Almiron,Callum Wilson,Allan Saint-Maximin",",Sam Surridge,Brennan Johnson,Jesse Lingard,Jack Colback,Lewis O'Brien,Harry Toffolo,Joe Worrall,Scott McKenna,Moussa Niakhate,Neco Williams,Dean Henderson","Martin Dubravka,Sven Botman,Jamaal Lascelles,Matt Ritchie,Ryan Fraser,Jacob Murphy,Elliot Anderson,Sean Longstaff,Chris Wood","Wayne Hennessey,Giulian Biancone,Loic Mbe Soh,Orel Mangala,Cafu,Oliver Hammond,Taiwo Awoniyi,Alexander Mighten,Lyle Taylor",Eddie Howe,Steve Cooper,Referee: Simon Hooper (England),Aug 6,Venue: St James' Park,9,0,8,3,9,14,11,1,19,24,H,drew at ht and won at ft,drew at ht and lost at ft,won either half,didnt win either half
Tottenham Hotspur,Southampton,4,1,2,1,3-4-2-1,5-3-2,",Hugo Lloris,Cristian Romero,Eric Dier,Ben Davies,Emerson,Pierre Hojbjerg,Rodrigo Bentancur,Ryan Sessegnon,Dejan Kulusevski,Son Heung-min,Harry Kane",",Adam Armstrong,Joe Aribo,Romeo Lavia,Oriol Romeu,James Ward-Prowse,Moussa Djenepo,Yan Valery,Jan Bednarek,Mohammed Salisu,Kyle Walker-Peters,Gavin Bazunu","Fraser Forster,Matt Doherty,Davinson Sanchez,Djed Spence,Clement Lenglet,Bryan Gil,Ivan Perisic,Lucas Moura,Yves Bissouma","Alex McCarthy,Jack Stephens,Romain Perraud,Armel Bella-Kotchap,Nathan Redmond,Stuart Armstrong,Ibrahima Diallo,Che Adams,Mohamed Elyounoussi",Antonio Conte,Ralph Hasenhuttl,Referee: Andre Marriner (England),Aug 6,Venue: Tottenham Hotspur Stadium,8,2,5,5,11,6,10,2,18,15,H,won at ht and won at ft,lost at ht and ft,won both halves,didnt win either half
Everton,Chelsea,0,1,0,1,5-4-1,3-4-3,",Jordan Pickford,Nathan Patterson,James Tarkowski,Yerry Mina,Ben Godfrey,Vitaliy Mykolenko,Demarai Gray,Abdoulaye Doucoure,Alex Iwobi,Dwight McNeil,Anthony Gordon",",Raheem Sterling,Kai Havertz,Mason Mount,Ben Chilwell,Jorginho,N'Golo Kante,Reece James,Kalidou Koulibaly,Thiago Silva,Cesar Azpilicueta,Edouard Mendy","Asmir Begovic,Mason Holgate,Michael Keane,Ruben Vinagre,Allan,Dele Alli,Jean-Philippe Gbamin,Lewis Warrington,Stanley Mills","Kepa Arrizabalaga,Trevoh Chalobah,Marc Cucurella,Mateo Kovacic,Ruben Loftus-Cheek,Hakim Ziyech,Conor Gallagher,Christian Pulisic,Armando Broja",Frank Lampard,Thomas Tuchel,Referee: Craig Pawson (England),Aug 6,Venue: Goodison Park,3,6,4,3,14,11,4,16,22,16,A,lost at ht and ft,won at ht and won at ft,didnt win either half,won either half
Leicester City,Brentford,2,2,1,0,3-5-1-1,4-3-3,",Danny Ward,Wesley Fofana,Jonny Evans,Daniel Amartey,Timothy Castagne,Kiernan Dewsbury-Hall,Wilfred Ndidi,Youri Tielemans,James Justin,James Maddison,Jamie Vardy",",Yoane Wissa,Ivan Toney,Bryan Mbeumo,Vitaly Janelt,Christian Norgaard,Mathias Jensen,Rico Henry,Ben Mee,Pontus Jansson,Aaron Hickey,David Raya","Daniel Iversen,Caglar Soyuncu,Luke Thomas,Marc Albrighton,Nampalys Mendy,Dennis Praet,Kelechi Iheanacho,Ayoze Perez,Patson Daka","Thomas Strakosha,Mads Bech Sorensen,Mads Roerslev Rasmussen,Fin Stevens,Josh Dasilva,Frank Onyeka,Shandon Baptiste,Halil Dervisoglu,Keane Lewis-Potter",Brendan Rodgers,Thomas Frank,Referee: Jarred Gillett (Australia),Aug 7,Venue: King Power Stadium,5,3,7,3,6,5,5,6,20,11,D,won at ht and drew at ft,lost at ht and drew ft,won either half,won either half
Manchester United,Brighton & Hove Albion,1,2,0,2,4-2-3-1,3-4-2-1,",David De Gea,Diogo Dalot,Harry Maguire,Lisandro Martinez,Luke Shaw,Scott McTominay,Fred,Jadon Sancho,Christian Eriksen,Bruno Fernandes,Marcus Rashford",",Danny Welbeck,Adam Lallana,Pascal Gross,Leandro Trossard,Moisés Caicedo,Alexis MacAllister,Solly March,Adam Webster,Lewis Dunk,Joel Veltman,Robert Sanchez","Tom Heaton,Tyrell Malacia,Raphael Varane,Aaron Wan-Bissaka,Donny Van De Beek,James Garner,Cristiano Ronaldo,Anthony Elanga,Alejandro Garnacho","Jason Steele,Tariq Lamptey,Levi Colwill,Jan Paul Van Hecke,Enock Mwepu,Kaoru Mitoma,Neal Maupay,Jeremy Sarmiento,Deniz Undav",Erik ten Hag,Graham Potter,Referee: Paul Tierney (England),Aug 7,Venue: Old Trafford,5,4,5,6,7,12,6,2,20,22,A,lost at ht and ft,won at ht and won at ft,won either half,won either half
West Ham United,Manchester City,0,2,0,1,4-2-3-1,4-3-3,",Lukasz Fabianski,Vladimir Coufal,Kurt Zouma,Ben Johnson,Aaron Cresswell,Tomas Soucek,Declan Rice,Jarrod Bowen,Manuel Lanzini,Pablo Fornals,Michail Antonio",",Jack Grealish,Erling Haaland,Phil Foden,Ilkay Gundogan,Rodri,Kevin De Bruyne,Joao Cancelo,Nathan Ake,Ruben Dias,Kyle Walker,Ederson","Alphonse Areola,Darren Randolph,Harrison Ashby,Nikola Vlasic,Flynn Downes,Conor Coventry,Gianluca Scamacca,Said Benrahma,Armstrong Oko-Flex","Stefan Ortega,John Stones,Rico Lewis,Josh Wilson-Esbrand,Kalvin Phillips,Bernardo Silva,Cole Palmer,Julian Alvarez,Riyad Mahrez",David Moyes,Josep Guardiola,Referee: Michael Oliver (England),Aug 7,Venue: London Stadium,1,2,2,7,7,4,1,4,11,13,A,lost at ht and ft,won at ht and won at ft,didnt win either half,won both halves
Aston Villa,Everton,2,1,1,0,4-3-1-2,3-4-3,",Emiliano Martinez,Matty Cash,Diego Carlos,Tyrone Mings,Lucas Digne,John McGinn,Boubacar Kamara,Jacob Ramsey,Philippe Coutinho,Ollie Watkins,Danny Ings",",Demarai Gray,Anthony Gordon,Dwight McNeil,Vitaliy Mykolenko,Alex Iwobi,Abdoulaye Doucoure,Nathan Patterson,James Tarkowski,Conor Coady,Mason Holgate,Jordan Pickford","Robin Olsen,Ezri Konsa,Calum Chambers,Ludwig Augustinsson,Ashley Young,Douglas Luiz,Emiliano Buendia,Leon Bailey,Cameron Archer","Asmir Begovic,Michael Keane,Seamus Coleman,Ruben Vinagre,Amadou Mvom Onana,Dele Alli,Tom Davies,Stanley Mills,Salomon Rondon",Steven Gerrard,Frank Lampard,Referee: Michael Oliver (England),Aug 13,Venue: Villa Park,3,3,3,1,9,7,5,8,20,18,H,won at ht and won at ft,lost at ht and ft,won either half,didnt win either half
Arsenal,Leicester City,4,2,2,0,4-2-3-1,3-5-1-1,",Aaron Ramsdale,Ben White,William Saliba,Gabriel Magalhaes,Oleksandr Zinchenko,Thomas Partey,Granit Xhaka,Bukayo Saka,Martin Odegaard,Gabriel Martinelli,Gabriel Jesus",",Jamie Vardy,James Maddison,James Justin,Kiernan Dewsbury-Hall,Wilfred Ndidi,Youri Tielemans,Timothy Castagne,Daniel Amartey,Jonny Evans,Wesley Fofana,Danny Ward","Matt Turner,Kieran Tierney,Rob Holding,Takehiro Tomiyasu,Emile Smith-Rowe,Albert Sambi Lokonga,Mohamed Elneny,Eddie Nketiah,Nicolas Pepe","Daniel Iversen,Caglar Soyuncu,Luke Thomas,Marc Albrighton,Nampalys Mendy,Dennis Praet,Kelechi Iheanacho,Ayoze Perez,Patson Daka",Mikel Arteta,Brendan Rodgers,Referee: Darren England (England),Aug 13,Venue: Emirates Stadium,7,2,7,3,15,9,6,2,15,14,H,won at ht and won at ft,lost at ht and ft,won either half,didnt win either half
Brighton & Hove Albion,Newcastle United,0,0,0,0,3-4-2-1,4-3-3,",Robert Sanchez,Joel Veltman,Lewis Dunk,Adam Webster,Solly March,Alexis MacAllister,Moisés Caicedo,Leandro Trossard,Pascal Gross,Adam Lallana,Danny Welbeck",",Allan Saint-Maximin,Callum Wilson,Miguel Almiron,Joelinton,Bruno Guimaraes,Joseph Willock,Dan Burn,Sven Botman,Fabian Schar,Kieran Trippier,Nick Pope","Jason Steele,Tariq Lamptey,Levi Colwill,Jan Paul Van Hecke,Enock Mwepu,Steven Alzate,Kaoru Mitoma,Jeremy Sarmiento,Deniz Undav","Martin Dubravka,Paul Dummett,Jamaal Lascelles,Javi Manquillo,Matt Ritchie,Jacob Murphy,Elliot Anderson,Sean Longstaff,Chris Wood",Graham Potter,Eddie Howe,Referee: Graham Scott (England),Aug 13,Venue: The American Express Community Stadium,5,1,3,3,8,6,7,3,20,23,D,drew at ht and ft,drew at ht and ft,didnt win either half,didnt win either half
Manchester City,AFC Bournemouth,4,0,3,0,4-3-3,3-4-2-1,",Ederson,Kyle Walker,Ruben Dias,Nathan Ake,Joao Cancelo,Kevin De Bruyne,Rodri,Ilkay Gundogan,Riyad Mahrez,Erling Haaland,Phil Foden",",Kieffer Moore,Ryan Christie,Marcus Tavernier,Jack Stacey,Lewis Cook,Ben Pearson,Adam Smith,Lloyd Kelly,Chris Mepham,Jefferson Lerma,Mark Travers","Stefan Ortega,John Stones,Luke Mbete-Tatu,Rico Lewis,Josh Wilson-Esbrand,Bernardo Silva,Jack Grealish,Julian Alvarez,Liam Delap","Neto,James Hill,Marcos Senesi,Emiliano Marcondes,Junior Stanislas,Siriki Dembele,Philip Billing,Jamal Lowe,Jaidon Anthony",Josep Guardiola,Scott Parker,Referee: David Coote (England),Aug 13,Venue: Etihad Stadium,7,1,7,1,9,8,11,1,12,8,H,won at ht and won at ft,lost at ht and ft,won both halves,didnt win either half
Southampton,Leeds United,2,2,0,0,3-5-2,4-2-3-1,",Gavin Bazunu,Armel Bella-Kotchap,Jan Bednarek,Mohammed Salisu,Kyle Walker-Peters,James Ward-Prowse,Romeo Lavia,Stuart Armstrong,Moussa Djenepo,Che Adams,Mohamed Elyounoussi",",Patrick Bamford,Jack Harrison,Rodrigo,Brenden Aaronson,Tyler Adams,Marc Roca,Pascal Struijk,Diego Llorente,Robin Koch,Rasmus Kristensen,Illan Meslier","Alex McCarthy,Lyanco,Jack Stephens,Yan Valery,Oriol Romeu,Joe Aribo,Ibrahima Diallo,Adam Armstrong,Sekou Mara","Kristoffer Klaesson,Leo Fuhr Hjelde,Cody Drameh,Adam Forshaw,Crysencio Summerville,Daniel James,Mateusz Klich,Luis Sinisterra,Sam Greenwood",Ralph Hasenhuttl,Jesse Marsch,Referee: Tony Harrington (England),Aug 13,Venue: St. Mary's Stadium,4,5,6,4,10,12,2,5,25,30,D,drew at ht and ft,drew at ht and ft,didnt win either half,didnt win either half
Wolverhampton Wanderers,Fulham,0,0,0,0,4-2-3-1,4-2-3-1,",Jose Sa,Jonny Otto,Nathan Collins,Max Kilman,Rayan Ait-Nouri,Ruben Neves,Leander Dendoncker,Daniel Podence,Morgan Gibbs-White,Pedro Neto,Hwang Hee-chan",",Aleksandar Mitrovic,Neeskens Kebano,Andreas Pereira,Bobby Reid,Joao Palhinha,Harrison Reed,Antonee Robinson,Tim Ream,Tosin Adarabioyo,Kenny Tete,Marek Rodak","Matija Sarkic,Willy Boly,Nelson Semedo,Toti Gomes,Goncalo Guedes,Connor Ronan,Luke Cundle,Adama Traore,Chem Campbell","Bernd Leno,Shane Duffy,Kevin Mbabu,Issa Diop,Tom Cairney,Nathaniel Chalobah,Tyrese Francois,Rodrigo Muniz,Jay Stansfield",Bruno Lage,Marco Silva,Referee: John Brooks (England),Aug 13,Venue: Molineux Stadium,1,3,5,5,7,14,5,3,22,24,D,drew at ht and ft,drew at ht and ft,didnt win either half,didnt win either half
Brentford,Manchester United,4,0,4,0,4-3-3,4-3-3,",David Raya,Aaron Hickey,Pontus Jansson,Ben Mee,Rico Henry,Mads Roerslev Rasmussen,Christian Norgaard,Mathias Jensen,Bryan Mbeumo,Ivan Toney,Josh Dasilva",",Marcus Rashford,Cristiano Ronaldo,Jadon Sancho,Bruno Fernandes,Fred,Christian Eriksen,Luke Shaw,Lisandro Martinez,Harry Maguire,Diogo Dalot,David De Gea","Thomas Strakosha,Mads Bech Sorensen,Yoane Wissa,Frank Onyeka,Mikkel Damsgaard,Shandon Baptiste,Vitaly Janelt,Saman Ghoddos,Keane Lewis-Potter","Tom Heaton,Tyrell Malacia,Raphael Varane,Aaron Wan-Bissaka,Donny Van De Beek,James Garner,Scott McTominay,Anthony Elanga,Alejandro Garnacho",Thomas Frank,Erik ten Hag,Referee: Stuart Attwell (England),Aug 13,Venue: Gtech Community Stadium,7,4,3,7,6,15,8,2,16,22,H,won at ht and won at ft,lost at ht and ft,won either half,didnt win either half
Nottingham Forest,West Ham United,1,0,1,0,3-4-1-2,4-2-3-1,",Dean Henderson,Joe Worrall,Moussa Niakhate,Scott McKenna,Neco Williams,Orel Mangala,Lewis O'Brien,Harry Toffolo,Jesse Lingard,Brennan Johnson,Taiwo Awoniyi",",Michail Antonio,Pablo Fornals,Said Benrahma,Jarrod Bowen,Declan Rice,Tomas Soucek,Aaron Cresswell,Ben Johnson,Kurt Zouma,Vladimir Coufal,Lukasz Fabianski","Wayne Hennessey,Giulian Biancone,Steve Cook,Loic Mbe Soh,Cafu,Oliver Hammond,Sam Surridge,Alexander Mighten,Lyle Taylor","Alphonse Areola,Darren Randolph,Harrison Ashby,Manuel Lanzini,Flynn Downes,Maxwel Cornet,Conor Coventry,Gianluca Scamacca,",Steve Cooper,David Moyes,Referee: Robert Jones (England),Aug 14,"Venue: City Ground, Nottingham",6,4,4,8,10,11,6,7,15,22,H,won at ht and won at ft,lost at ht and ft,won either half,didnt win either half
Chelsea,Tottenham Hotspur,2,2,1,0,3-4-2-1,3-4-2-1,",Edouard Mendy,Reece James,Thiago Silva,Kalidou Koulibaly,Ruben Loftus-Cheek,N'Golo Kante,Jorginho,Marc Cucurella,Kai Havertz,Mason Mount,Raheem Sterling",",Harry Kane,Son Heung-min,Dejan Kulusevski,Ryan Sessegnon,Pierre Hojbjerg,Rodrigo Bentancur,Emerson,Ben Davies,Eric Dier,Cristian Romero,Hugo Lloris","Kepa Arrizabalaga,Trevoh Chalobah,Ben Chilwell,Cesar Azpilicueta,Hakim Ziyech,Conor Gallagher,Christian Pulisic,Armando Broja,Callum Hudson-Odoi","Fraser Forster,Matt Doherty,Davinson Sanchez,Japhet Tanganga,Bryan Gil,Ivan Perisic,Lucas Moura,Yves Bissouma,Richarlison",Thomas Tuchel,Antonio Conte,Referee: Anthony Taylor (England),Aug 14,Venue: Stamford Bridge,3,5,6,2,9,9,8,5,26,17,D,won at ht and drew at ft,lost at ht and drew ft,won either half,won either half
Liverpool,Crystal Palace,1,1,0,1,4-3-3,5-4-1,",Alisson,Trent Alexander-Arnold,Nathaniel Phillips,Virgil Van Dijk,Andy Robertson,James Milner,Fabinho,Harvey Elliott,Mohamed Salah,Darwin Nunez,Luis Diaz",",Jordan Ayew,Wilfried Zaha,Cheick Oumar Doucoure,Jeffrey Schlupp,Eberechi Eze,Tyrick Mitchell,Marc Guehi,Joachim Andersen,Joel Ward,Nathaniel Clyne,Vicente Guaita","Adrian,Joe Gomez,Kostas Tsimikas,Stefan Bajcetic,Sepp Van den Berg,Naby Keita,Jordan Henderson,Fabio Carvalho,Bobby Clark","Sam Johnstone,Chris Richards,Luka Milivojevic,Michael Olise,Will Hughes,Jean-Philippe Mateta,Odsonne Edouard,Malcolm Ebiowei,Luke Plange",Jurgen Klopp,Patrick Vieira,Referee: Paul Tierney (England),Aug 15,Venue: Anfield,4,3,10,3,7,8,4,2,27,18,D,lost at ht and drew ft,won at ht and drew at ft,won either half,won either half
Tottenham Hotspur,Wolverhampton Wanderers,1,0,0,0,3-4-2-1,3-5-2,",Hugo Lloris,Davinson Sanchez,Eric Dier,Ben Davies,Emerson,Rodrigo Bentancur,Pierre Hojbjerg,Ivan Perisic,Dejan Kulusevski,Son Heung-min,Harry Kane",",Daniel Podence,Goncalo Guedes,Rayan Ait-Nouri,Joao Moutinho,Ruben Neves,Matheus Nunes,Pedro Neto,Max Kilman,Nathan Collins,Jonny Otto,Jose Sa","Fraser Forster,Matt Doherty,Japhet Tanganga,Clement Lenglet,Bryan Gil,Ryan Sessegnon,Lucas Moura,Yves Bissouma,Richarlison","Matija Sarkic,Willy Boly,Nelson Semedo,Toti Gomes,Leander Dendoncker,Luke Cundle,Raul Jimenez,Hwang Hee-chan,Adama Traore",Antonio Conte,Bruno Lage,Referee: Simon Hooper (England),Aug 20,Venue: Tottenham Hotspur Stadium,4,3,5,8,10,8,8,6,13,15,H,drew at ht and won at ft,drew at ht and lost at ft,won either half,didnt win either half
Crystal Palace,Aston Villa,3,1,1,1,4-2-3-1,4-3-3,",Vicente Guaita,Joel Ward,Joachim Andersen,Marc Guehi,Tyrick Mitchell,Cheick Oumar Doucoure,Jeffrey Schlupp,Jordan Ayew,Eberechi Eze,Wilfried Zaha,Odsonne Edouard",",Emiliano Buendia,Ollie Watkins,Leon Bailey,Jacob Ramsey,Boubacar Kamara,John McGinn,Lucas Digne,Tyrone Mings,Ezri Konsa,Matty Cash,Emiliano Martinez","Sam Johnstone,Joe Whitworth,Nathaniel Clyne,Chris Richards,Luka Milivojevic,Michael Olise,Will Hughes,Jean-Philippe Mateta,Malcolm Ebiowei","Robin Olsen,Calum Chambers,Ludwig Augustinsson,Ashley Young,Douglas Luiz,Marvelous Nakamba,Philippe Coutinho,Danny Ings,Cameron Archer",Patrick Vieira,Steven Gerrard,Referee: Andrew Madley (England),Aug 20,Venue: Selhurst Park,9,5,5,4,16,14,4,2,20,16,H,drew at ht and won at ft,drew at ht and lost at ft,won either half,didnt win either half
Everton,Nottingham Forest,1,1,0,0,3-4-3,3-4-1-2,",Jordan Pickford,Mason Holgate,Conor Coady,James Tarkowski,Nathan Patterson,Tom Davies,Alex Iwobi,Vitaliy Mykolenko,Anthony Gordon,Salomon Rondon,Demarai Gray",",Taiwo Awoniyi,Brennan Johnson,Jesse Lingard,Harry Toffolo,Lewis O'Brien,Orel Mangala,Neco Williams,Scott McKenna,Steve Cook,Joe Worrall,Dean Henderson","Asmir Begovic,Michael Keane,Seamus Coleman,Ruben Vinagre,Allan,Dwight McNeil,Amadou Mvom Onana,Dele Alli,Jean-Philippe Gbamin","Wayne Hennessey,Giulian Biancone,Morgan Gibbs-White,Cheikhou Kouyate,Ryan Yates,Remo Freuler,Sam Surridge,Alexander Mighten,Emmanuel Dennis",Frank Lampard,Steve Cooper,Referee: Andre Marriner (England),Aug 20,Venue: Goodison Park,8,5,6,6,6,9,6,2,21,18,D,drew at ht and ft,drew at ht and ft,didnt win either half,didnt win either half
Fulham,Brentford,3,2,2,1,4-2-3-1,4-3-3,",Bernd Leno,Kenny Tete,Tosin Adarabioyo,Tim Ream,Antonee Robinson,Harrison Reed,Joao Palhinha,Bobby Reid,Andreas Pereira,Jay Stansfield,Aleksandar Mitrovic",",Yoane Wissa,Ivan Toney,Bryan Mbeumo,Mathias Jensen,Christian Norgaard,Josh Dasilva,Rico Henry,Ben Mee,Pontus Jansson,Aaron Hickey,David Raya","Marek Rodak,Shane Duffy,Kevin Mbabu,Issa Diop,Tom Cairney,Nathaniel Chalobah,Tyrese Francois,Luke Bernard Harris,Terry Ablade","Thomas Strakosha,Mads Bech Sorensen,Mads Roerslev Rasmussen,Frank Onyeka,Shandon Baptiste,Vitaly Janelt,Saman Ghoddos,Halil Dervisoglu,Keane Lewis-Potter",Marco Silva,Thomas Frank,Referee: Peter Bankes (England),Aug 20,Venue: Craven Cottage,9,5,2,5,13,7,6,3,20,29,H,won at ht and won at ft,lost at ht and ft,won either half,didnt win either half
Leicester City,Southampton,1,2,0,0,4-2-3-1,4-2-3-1,",Danny Ward,Timothy Castagne,Daniel Amartey,Jonny Evans,James Justin,Wilfred Ndidi,Kiernan Dewsbury-Hall,Ayoze Perez,James Maddison,Harvey Barnes,Jamie Vardy",",Sekou Mara,Adam Armstrong,Mohamed Elyounoussi,Joe Aribo,Romeo Lavia,James Ward-Prowse,Moussa Djenepo,Mohammed Salisu,Armel Bella-Kotchap,Kyle Walker-Peters,Gavin Bazunu","Daniel Iversen,Caglar Soyuncu,Luke Thomas,Youri Tielemans,Marc Albrighton,Nampalys Mendy,Dennis Praet,Kelechi Iheanacho,Patson Daka","Alex McCarthy,Lyanco,Jan Bednarek,Yan Valery,Oriol Romeu,Stuart Armstrong,Ibrahima Diallo,Theo Walcott,2Che Adams",Brendan Rodgers,Ralph Hasenhuttl,Referee: Michael Salisbury (England),Aug 20,Venue: King Power Stadium,2,3,2,2,11,15,2,5,32,19,A,drew at ht and lost at ft,drew at ht and won at ft,didnt win either half,won either half
AFC Bournemouth,Arsenal,0,3,0,2,3-4-2-1,4-2-3-1,",Mark Travers,Chris Mepham,Marcos Senesi,Lloyd Kelly,Adam Smith,Jefferson Lerma,Philip Billing,Jordan Zemura,Marcus Tavernier,Ben Pearson,Kieffer Moore",",Gabriel Jesus,Gabriel Martinelli,Martin Odegaard,Bukayo Saka,Granit Xhaka,Thomas Partey,Oleksandr Zinchenko,Gabriel Magalhaes,William Saliba,Ben White,Aaron Ramsdale","Neto,Jack Stacey,James Hill,Lewis Cook,Ryan Christie,Emiliano Marcondes,Siriki Dembele,Jamal Lowe,Jaidon Anthony","Matt Turner,Kieran Tierney,Rob Holding,Takehiro Tomiyasu,Emile Smith-Rowe,Fabio Vieira,Albert Sambi Lokonga,Mohamed Elneny,Eddie Nketiah",Scott Parker,Mikel Arteta,Referee: Craig Pawson (England),Aug 20,Venue: Vitality Stadium,1,6,5,4,12,10,3,4,25,15,A,lost at ht and ft,won at ht and won at ft,didnt win either half,won both halves
Leeds United,Chelsea,3,0,2,0,4-2-3-1,3-4-2-1,",Illan Meslier,Rasmus Kristensen,Robin Koch,Diego Llorente,Pascal Struijk,Tyler Adams,Marc Roca,Brenden Aaronson,Rodrigo,Jack Harrison,Daniel James",",Raheem Sterling,Mason Mount,Kai Havertz,Marc Cucurella,Conor Gallagher,Jorginho,Ruben Loftus-Cheek,Kalidou Koulibaly,Thiago Silva,Reece James,Edouard Mendy","Kristoffer Klaesson,Leo Fuhr Hjelde,Cody Drameh,Adam Forshaw,Crysencio Summerville,Mateusz Klich,Luis Sinisterra,Joe Gelhardt,Sam Greenwood","Kepa Arrizabalaga,Trevoh Chalobah,Ben Chilwell,Cesar Azpilicueta,Ethan Ampadu,Hakim Ziyech,Carney Chukwuemeka,Christian Pulisic,Callum Hudson-Odoi",Jesse Marsch,Thomas Tuchel,Referee: Stuart Attwell (England),Aug 21,Venue: Elland Road,6,3,4,4,16,15,4,6,17,28,H,won at ht and won at ft,lost at ht and ft,won both halves,didnt win either half
