home team,away team,FTHG,FTAG,htHG,htAG,home formation,away formation,home line up,away line up,home subs,away subs,home coach,away coach,Referee,date,venue,home shots on target,away shots on target,home shots off target,away shots off target,home fouls,away fouls,home corners,away corners,home throws,away throws,result,home_ht_ft,away_ht_ft,home_double_chance,away_double_chance
Newcastle United,West Ham United,1,1,1,1,4-3-3,3-4-2-1,",Nick Pope,Kieran Trippier,Fabian Schar,Sven Botman,Dan Burn,Joseph Willock,Sean Longstaff,Joelinton,Miguel Almiron,Callum Wilson,Allan Saint-Maximin",",Michail Antonio,Said Benrahma,Jarrod Bowen,Emerson,Declan Rice,Lucas Paqueta,Vladimir Coufal,Nayef Aguerd,Angelo Ogbonna,Thilo Kehrer,Lukasz Fabianski","Martin Dubravka,Paul Dummett,Jamaal Lascelles,Jamal Lewis,Anthony Gordon,Matt Ritchie,Jacob Murphy,Elliot Anderson,Ryan Fraser","Krisztian Hegyi,Joseph Tetteh Anang,Ben Johnson,Aaron Cresswell,Pablo Fornals,Manuel Lanzini,Flynn Downes,Tomas Soucek,Danny Ings",Eddie Howe,David Moyes,Referee: Peter Bankes (England),Feb 4,Venue: St James' Park,2,1,2,5,11,13,4,2,19,17,D,drew at ht and ft,drew at ht and ft,didnt win either half,didnt win either half
Nottingham Forest,Leeds United,1,0,1,0,4-3-1-2,4-2-3-1,",Keylor Navas,Neco Williams,Scott McKenna,Willy Boly,Renan Lodi,Remo Freuler,Danilo,Orel Mangala,Morgan Gibbs-White,Brennan Johnson,Chris Wood",",Patrick Bamford,Wilfried Gnonto,Jack Harrison,Luis Sinisterra,Marc Roca,Tyler Adams,Pascal Struijk,Maximilian Wober,Liam Cooper,Luke Ayling,Illan Meslier","Wayne Hennessey,Joe Worrall,Serge Aurier,Felipe,Jack Colback,Jesse Lingard,Gustavo Scarpa,Sam Surridge,Andre Ayew","Joel Robles,Junior Firpo,Rasmus Kristensen,Crysencio Summerville,Weston McKennie,Brenden Aaronson,Georginio Rutter,Sam Greenwood,Mateo Joseph Fernandez",Steve Cooper,Jesse Marsch,Referee: Robert Jones (England),Feb 5,"Venue: City Ground, Nottingham",2,4,2,3,15,14,0,2,20,37,H,won at ht and won at ft,lost at ht and ft,won either half,didnt win either half
Tottenham Hotspur,Manchester City,1,0,1,0,3-4-2-1,4-2-3-1,",Hugo Lloris,Cristian Romero,Eric Dier,Ben Davies,Emerson,Pierre Hojbjerg,Rodrigo Bentancur,Ivan Perisic,Dejan Kulusevski,Son Heung-min,Harry Kane",",Erling Haaland,Jack Grealish,Julian Alvarez,Riyad Mahrez,Rodri,Bernardo Silva,Rico Lewis,Nathan Ake,Manuel Akanji,Kyle Walker,Ederson","Fraser Forster,Davinson Sanchez,Pedro Porro,Clement Lenglet,Oliver Skipp,Arnaut Danjuma,Ryan Sessegnon,Yves Bissouma,Richarlison","Stefan Ortega,Ruben Dias,Aymeric Laporte,Kalvin Phillips,Ilkay Gundogan,Kevin De Bruyne,Sergio Gomez,Maximo Perrone,Cole Palmer",Cristian Stellini,Josep Guardiola,Referee: Andrew Madley (England),Feb 5,Venue: Tottenham Hotspur Stadium,3,5,3,5,19,14,4,6,10,11,H,won at ht and won at ft,lost at ht and ft,won either half,didnt win either half
Manchester United,Leeds United,2,2,0,1,4-2-3-1,4-2-3-1,",David De Gea,Diogo Dalot,Raphael Varane,Lisandro Martinez,Luke Shaw,Fred,Marcel Sabitzer,Alejandro Garnacho,Bruno Fernandes,Marcus Rashford,Wout Weghorst",",Patrick Bamford,Wilfried Gnonto,Jack Harrison,Luis Sinisterra,Tyler Adams,Weston McKennie,Pascal Struijk,Maximilian Wober,Robin Koch,Luke Ayling,Illan Meslier","Tom Heaton,Victor Lindelof,Harry Maguire,Tyrell Malacia,Facundo Pellistri,Zidane Iqbal,Kobbie Mainoo,Jadon Sancho,Anthony Elanga","Joel Robles,Junior Firpo,Rasmus Kristensen,Brenden Aaronson,Crysencio Summerville,Darko Gyabi,Georginio Rutter,Sam Greenwood,Mateo Joseph Fernandez",Erik ten Hag,Michael Skubala,Referee: Simon Hooper (England),Feb 8,Venue: Old Trafford,6,2,8,2,7,11,6,5,30,14,D,lost at ht and drew ft,won at ht and drew at ft,won either half,won either half
West Ham United,Chelsea,1,1,1,1,3-4-2-1,4-2-3-1,",Lukasz Fabianski,Thilo Kehrer,Angelo Ogbonna,Nayef Aguerd,Vladimir Coufal,Lucas Paqueta,Declan Rice,Emerson,Jarrod Bowen,Said Benrahma,Michail Antonio",",Kai Havertz,Mykhailo Mudryk,Joao Felix,Noni Madueke,Enzo Fernandez,Ruben Loftus-Cheek,Marc Cucurella,Benoit Badiashile,Thiago Silva,Reece James,Kepa Arrizabalaga","Krisztian Hegyi,Joseph Tetteh Anang,Ben Johnson,Pablo Fornals,Manuel Lanzini,Flynn Downes,Tomas Soucek,Danny Ings,","Marcus Bettinelli,Trevoh Chalobah,Ben Chilwell,Cesar Azpilicueta,Mason Mount,Hakim Ziyech,Conor Gallagher,Carney Chukwuemeka,David Datro Fofana",David Moyes,Graham Potter,Referee: Craig Pawson (England),Feb 11,Venue: London Stadium,2,4,5,4,9,11,5,6,18,14,D,drew at ht and ft,drew at ht and ft,didnt win either half,didnt win either half
Arsenal,Brentford,1,1,0,0,4-3-3,3-5-2,",Aaron Ramsdale,Ben White,William Saliba,Gabriel Magalhaes,Oleksandr Zinchenko,Martin Odegaard,Thomas Partey,Granit Xhaka,Bukayo Saka,Eddie Nketiah,Gabriel Martinelli",",Ivan Toney,Bryan Mbeumo,Rico Henry,Mathias Jensen,Christian Norgaard,Vitaly Janelt,Mads Roerslev Rasmussen,Ben Mee,Ethan Pinnock,Kristoffer Ajer,David Raya","Matt Turner,Kieran Tierney,Jakub Kiwior,Rob Holding,Takehiro Tomiyasu,Jorginho,Fabio Vieira,Amario Cozier-Duberry,Leandro Trossard","Matthew Cox,Zanka,Aaron Hickey,Josh Dasilva,Yoane Wissa,Shandon Baptiste,Kevin Schade,Keane Lewis-Potter,Mikkel Damsgaard",Mikel Arteta,Thomas Frank,Referee: Peter Bankes (England),Feb 11,Venue: Emirates Stadium,7,2,7,4,9,9,7,4,17,12,D,drew at ht and ft,drew at ht and ft,didnt win either half,didnt win either half
Crystal Palace,Brighton & Hove Albion,1,1,0,0,4-2-3-1,4-2-3-1,",Vicente Guaita,Nathaniel Clyne,James Tomkins,Marc Guehi,Tyrick Mitchell,Cheick Oumar Doucoure,Will Hughes,Jordan Ayew,Michael Olise,Jeffrey Schlupp,Jean-Philippe Mateta",",Deniz Undav,Kaoru Mitoma,Alexis MacAllister,Solly March,Moisés Caicedo,Pascal Gross,Pervis Estupinan,Lewis Dunk,Adam Webster,Joel Veltman,Robert Sanchez","Sam Johnstone,Joe Whitworth,Luka Milivojevic,Albert Sambi Lokonga,Eberechi Eze,James McArthur,Naouirou Ahamada,Jairo Riedewald,Odsonne Edouard","Jason Steele,Tariq Lamptey,Jan Paul Van Hecke,Jeremy Sarmiento,Yasin Abbas Ayari,Facundo Valentin Buonanotte,Andrew Moran,Julio Cesar Enciso,Evan Ferguson",Patrick Vieira,Roberto De Zerbi,Referee: Michael Oliver (England),Feb 11,Venue: Selhurst Park,1,7,2,5,10,11,1,6,15,17,D,drew at ht and ft,drew at ht and ft,didnt win either half,didnt win either half
Fulham,Nottingham Forest,2,0,1,0,4-2-3-1,4-3-3,",Bernd Leno,Kenny Tete,Issa Diop,Tim Ream,Antonee Robinson,Harrison Reed,Joao Palhinha,Bobby Reid,Andreas Pereira,Willian,Aleksandar Mitrovic",",Morgan Gibbs-White,Chris Wood,Brennan Johnson,Gustavo Scarpa,Remo Freuler,Orel Mangala,Renan Lodi,Scott McKenna,Willy Boly,Serge Aurier,Keylor Navas","Marek Rodak,Tosin Adarabioyo,Shane Duffy,Cedric Soares,Manor Solomon,Sasa Lukic,Harry Wilson,Daniel James,Carlos Vinicius","Wayne Hennessey,Joe Worrall,Neco Williams,Felipe,Jonjo Shelvey,Jack Colback,Sam Surridge,Emmanuel Dennis,Andre Ayew",Marco Silva,Steve Cooper,Referee: Andrew Madley (England),Feb 11,Venue: Craven Cottage,3,1,11,6,9,11,5,4,20,23,H,won at ht and won at ft,lost at ht and ft,won both halves,didnt win either half
Leicester City,Tottenham Hotspur,4,1,3,1,4-2-3-1,3-4-2-1,",Danny Ward,Timothy Castagne,Harry Souttar,Wout Faes,Victor Kristiansen,Nampalys Mendy,Kiernan Dewsbury-Hall,Tete,James Maddison,Harvey Barnes,Kelechi Iheanacho",",Harry Kane,Son Heung-min,Dejan Kulusevski,Ivan Perisic,Rodrigo Bentancur,Pierre Hojbjerg,Pedro Porro,Ben Davies,Eric Dier,Japhet Tanganga,Fraser Forster","Daniel Iversen,Caglar Soyuncu,Daniel Amartey,Ricardo Pereira,Luke Thomas,Wilfred Ndidi,Dennis Praet,Jamie Vardy,Patson Daka","Brandon Austin,Davinson Sanchez,Emerson,Clement Lenglet,Oliver Skipp,Arnaut Danjuma,Lucas Moura,Pape Matar Sarr,Richarlison",Brendan Rodgers,Antonio Conte,Referee: Michael Salisbury (England),Feb 11,Venue: King Power Stadium,7,4,6,5,14,9,1,5,22,13,H,won at ht and won at ft,lost at ht and ft,won both halves,didnt win either half
Southampton,Wolverhampton Wanderers,1,2,1,0,4-2-3-1,4-2-3-1,",Gavin Bazunu,James Bree,Jan Bednarek,Mohammed Salisu,Romain Perraud,Carlos Jonas Alcaraz,Romeo Lavia,Ainsley Maitland-Niles,James Ward-Prowse,Kamal-Deen Sulemana,Paul Onuachu",",Matheus Cunha,Matheus Nunes,Joao Moutinho,Pablo Sarabia,Ruben Neves,Mario Lemina,Rayan Ait-Nouri,Max Kilman,Craig Dawson,Nelson Semedo,Jose Sa","Willy Caballero,Lyanco,Joe Aribo,Stuart Armstrong,Adam Armstrong,Che Adams,Sekou Mara,Samuel Edozie,Theo Walcott","Daniel Bentley,Nathan Collins,Jonny Otto,Hugo Bueno,Joao Gomes,Pedro Neto,Raul Jimenez,Diego Costa,Adama Traore",Nathan Jones,Julen Lopetegui,Referee: Jarred Gillett (Australia),Feb 11,Venue: St. Mary's Stadium,2,1,8,2,12,14,5,2,24,23,A,won at ht and lost at ft,lost at ht and won at ft,won either half,won either half
